OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
182,104406.998408817530000,678954126.814814450000000,678954126.814813970000000,-93.504802594415480,28.372485860110586
183,104186.531671570420000,675794860.891271110000000,675794860.891271000000000,-94.254802594684492,28.872485859951301
184,104036.977229102220000,674987006.622242330000000,674987006.622241970000000,-84.754793939093744,27.624058387252894
185,97568.700732609737000,565669328.677270050000000,565669328.677270050000000,-85.519694752153043,29.864486968260813
186,80215.618951398137000,368848878.839904430000000,368848878.839904010000000,-86.507597611389841,30.316813555044899
187,105761.162987443340000,698223989.935824630000000,698223989.935824990000000,-81.754802594680825,25.122485860135679
188,105661.734990588460000,696820214.628965850000000,696820214.628965970000000,-82.254802594588270,25.372485859853345
189,104515.992531106010000,680514434.847198490000000,680514434.847198010000000,-84.004802594366907,28.122485860183094
190,103962.730023663870000,672584233.011183500000000,672584233.011183980000000,-84.254802594568275,29.372485859876186
191,103949.163788762480000,672583232.745933180000000,672583232.745933060000000,-92.004802659179447,29.372485795656999
192,104838.072253851210000,685117777.916005730000000,685117777.916005970000000,-83.254802594640253,27.372485859826753
193,103833.283323301640000,668471893.249157670000000,668471893.249158020000000,-86.004567451471090,29.622968009066845
194,99254.765732816755000,622964947.345125440000000,622964947.345124960000000,-82.764226855651145,27.364176296787669
195,104075.049896852040000,674195952.739024280000000,674195952.739024040000000,-84.504802594525287,29.122485859865535
196,25044.881141936152000,30395123.390062593000000,30395123.390062600000000,-89.915312487557813,29.265376124490377
197,105957.707294642520000,700991945.257160900000000,700991945.257161020000000,-81.754802594341129,24.622485859793386
198,105048.749012214450000,688121774.604388710000000,688121774.604388950000000,-83.754802594578791,26.872485859959912
199,105256.230728328010000,691073638.824437740000000,691073638.824437980000000,-82.504802594394050,26.372485859999042
200,105460.548793036490000,693973176.168836590000000,693973176.168836950000000,-82.504802594535022,25.872485860252088
201,105761.162969047570000,698223989.657940270000000,698223989.657940030000000,-83.254802594596427,25.122485860187091
202,104297.179551607640000,677380926.159078960000000,677380926.159078960000000,-91.504802594600747,28.622485860290610
203,104406.998348403940000,678954126.146737930000000,678954126.146738050000000,-83.254802594755574,28.372485859935825
204,106054.830736485560000,702356081.774904850000000,702356081.774904970000000,-82.754802594312906,24.372485860035901
205,103849.567015286990000,670959724.063100220000000,670959724.063099980000000,-84.254802594417683,29.622485860164826
206,104624.166688456580000,682061829.646510720000000,682061829.646510960000000,-95.754802594618070,27.872485859862987
207,100127.328780684140000,517276131.366646590000000,517276131.366647010000000,-82.783442243818897,28.617231357004460
208,87762.972817408445000,372409819.361804780000000,372409819.361805020000000,-82.811124723171460,27.622300962367742
209,104186.531585583390000,675794859.887357950000000,675794859.887357950000000,-91.254802594625403,28.872485860034757
210,105358.783088494330000,692529957.694707630000000,692529957.694707990000000,-82.254802594639955,26.122485859948188
211,80965.203145416264000,357037106.539322850000000,357037106.539322970000000,-96.565084912831068,26.622464165485368
212,42998.377148172389000,60102763.566478543000000,60102763.566478498000000,-91.351984584765617,29.292943051594801
213,105561.531608950580000,695403270.711401940000000,695403270.711402060000000,-82.504802594451846,25.622485860094486
214,104297.179534911610000,677380925.984245180000000,677380925.984244940000000,-90.254802594443774,28.622485859783033
215,103331.798918695330000,664691888.246535180000000,664691888.246534940000000,-86.504779626075333,29.623652144259751
216,80402.998339349899000,264790259.895208060000000,264790259.895208000000000,-88.955119596136967,29.570270082801702
217,78160.760025796641000,321396272.804249760000000,321396272.804250000000000,-85.439851214314032,28.623821939015325
218,103055.998753488210000,681390214.348376750000000,681390214.348376990000000,-82.505936589565223,26.871395738253796
219,105661.735094591600000,696820216.014847640000000,696820216.014847990000000,-83.004802594608421,25.372485860100127
220,104406.998451087620000,678954127.325637820000000,678954127.325638060000000,-84.754802594775313,28.372485860009494
221,67662.885423945088000,176239902.760167060000000,176239902.760167000000000,-97.174701798512757,27.577264399051678
222,36958.517630434239000,43921995.839962587000000,43921995.839962602000000,-83.607379024362416,29.789830522651879
223,105460.548979108370000,693973178.667154430000000,693973178.667153950000000,-82.004802594492432,25.872485860140465
224,104186.531631680690000,675794860.383496520000000,675794860.383497000000000,-83.004802594362360,28.872485859980262
225,8537.828003299549900,2425351.389515126100000,2425351.389515129800000,-81.126214129552309,25.357820105738842
226,103989.340548940760000,674024478.567368630000000,674024478.567368980000000,-90.504802943470523,28.123676620408922
227,104515.992519447680000,680514434.728832480000000,680514434.728832010000000,-83.004802594202630,28.122485860194114
228,103962.730058110380000,672584233.480772970000000,672584233.480772970000000,-88.504802594539868,29.372485860118417
229,104186.531593801630000,675794859.782780890000000,675794859.782781000000000,-92.754802594649519,28.872485860112519
230,105957.707150553440000,700991943.357689140000000,700991943.357689020000000,-82.254802594847305,24.622485859977839
231,103962.730166160820000,672584234.888826370000000,672584234.888826010000000,-88.254802594415409,29.372485860027709
232,105761.162887234390000,698223988.611401680000000,698223988.611402030000000,-83.754802594451789,25.122485860125259
233,1845.796180573553100,60864.982994284743000,60864.982994284699000,-91.870713617180201,29.497880933534155
234,104186.531589985100000,675794859.843743560000000,675794859.843744040000000,-83.254802594640054,28.872485860230682
235,103735.555816549180000,669322448.576747180000000,669322448.576746940000000,-87.504802594664852,29.872485860005831
236,103990.257659080100000,674035779.907390590000000,674035779.907390950000000,-90.754802943696973,28.123674546705150
237,105561.531737149310000,695403272.520365120000000,695403272.520365000000000,-83.004802594693217,25.622485860212411
238,104075.049822294460000,674195951.711499090000000,674195951.711498980000000,-85.254802594412155,29.122485860004129
239,79327.552238909178000,336821192.360499500000000,336821192.360499980000000,-83.939982417750684,24.872532095553332
